# gene name           KO     thrshld  score   E-value KO definition
* LOC_Os09g19650.1    K15397  129.00  580.1  3.8e-174 3-ketoacyl-CoA synthase [EC:2.3.1.199]
* LOC_Os09g19700.1    K13430  484.27  494.2  2.5e-148 serine/threonine-protein kinase PBS1 [EC:2.7.11.1]
* LOC_Os09g19734.3    K15040  160.00  386.3  7.8e-116 voltage-dependent anion channel protein 2
* LOC_Os09g19734.2    K02552  370.00  462.9  1.3e-138 menaquinone-specific isochorismate synthase [EC:5.4.4.2]
* LOC_Os09g19734.2    K15040  160.00  378.1  2.4e-113 voltage-dependent anion channel protein 2
* LOC_Os09g19734.1    K02552  370.00  467.2  6.6e-140 menaquinone-specific isochorismate synthase [EC:5.4.4.2]
* LOC_Os09g19734.1    K15040  160.00  378.0  2.5e-113 voltage-dependent anion channel protein 2
* LOC_Os09g19750.2    K17968   36.07   99.8     1e-28 TRIAP1/MDM35 family protein
* LOC_Os09g19750.1    K17968   36.07   80.7   7.6e-23 TRIAP1/MDM35 family protein
* LOC_Os09g19790.1    K08776  997.67 1296.6         0 puromycin-sensitive aminopeptidase [EC:3.4.11.14]
* LOC_Os09g19810.1    K07497   14.00   18.0   0.00089 putative transposase
* LOC_Os09g19830.1    K11420  338.53  412.4  2.9e-123 [histone H3]-lysine9 N-trimethyltransferase EHMT [EC:2.1.1.355]
* LOC_Os09g19850.1    K07574   36.37   47.0   1.8e-12 RNA-binding protein
* LOC_Os09g19900.1    K13175  149.20  253.7   1.9e-75 THO complex subunit 6
* LOC_Os09g19920.1    K06167  148.50  221.5     9e-66 phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]
* LOC_Os09g19930.1    K15403  887.23 1034.2         0 fatty acid omega-hydroxy dehydrogenase [EC:1.1.-.-]
* LOC_Os09g19940.1    K24939  152.93  542.6  7.6e-163 CWF19-like protein 1
* LOC_Os09g19940.2    K24939  152.93  438.1  3.3e-131 CWF19-like protein 1
* LOC_Os09g19954.1    K02878   72.77  197.4   2.4e-58 large subunit ribosomal protein L16
* LOC_Os09g20010.1    K07199  111.50  114.8   3.5e-33 5'-AMP-activated protein kinase, regulatory beta subunit
* LOC_Os09g20010.2    K07199  111.50  114.8   3.5e-33 5'-AMP-activated protein kinase, regulatory beta subunit
* LOC_Os09g20090.1    K00423  664.83  667.0  3.2e-200 L-ascorbate oxidase [EC:1.10.3.3]
* LOC_Os09g20220.1    K00799   71.97  139.5     1e-40 glutathione S-transferase [EC:2.5.1.18]
* LOC_Os09g20260.1    K13366  329.33  544.1  1.8e-163 polyamine oxidase [EC:1.5.3.14 1.5.3.16 1.5.3.-]
* LOC_Os09g20284.1    K13366  329.33  708.2  3.7e-213 polyamine oxidase [EC:1.5.3.14 1.5.3.16 1.5.3.-]
* LOC_Os09g20350.1    K09286   88.23  153.2   5.2e-45 EREBP-like factor
* LOC_Os09g20390.1    K01087  166.30  432.3  1.1e-129 trehalose 6-phosphate phosphatase [EC:3.1.3.12]
* LOC_Os09g20390.2    K01087  166.30  368.5  2.6e-110 trehalose 6-phosphate phosphatase [EC:3.1.3.12]
* LOC_Os09g20390.3    K01087  166.30  242.9   3.3e-72 trehalose 6-phosphate phosphatase [EC:3.1.3.12]
* LOC_Os09g20430.1    K07152   60.80  188.7   1.1e-55 protein SCO1
* LOC_Os09g20440.1    K00240  160.43  294.2   6.3e-88 succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
* LOC_Os09g20590.1    K13099   65.80  232.8   4.7e-69 CD2 antigen cytoplasmic tail-binding protein 2
* LOC_Os09g20590.2    K13099   65.80  202.5   7.4e-60 CD2 antigen cytoplasmic tail-binding protein 2
* LOC_Os09g20640.1    K08856  272.80  426.3  7.6e-128 serine/threonine kinase 16 [EC:2.7.11.1]
* LOC_Os09g20640.2    K08856  272.80  426.8  5.7e-128 serine/threonine kinase 16 [EC:2.7.11.1]
* LOC_Os09g20660.2    K22138   82.47  191.1   1.9e-56 mitochondrial pyruvate carrier 1
* LOC_Os09g20660.1    K22138   82.47  197.9   1.6e-58 mitochondrial pyruvate carrier 1
* LOC_Os09g20820.1    K01689   78.43  802.7  1.9e-241 enolase [EC:4.2.1.11]
* LOC_Os09g20830.5    K19765   28.37   52.5     3e-14 heat shock factor-binding protein 1
* LOC_Os09g20850.1    K23877  205.30  548.6    1e-164 xyloglucan O-acetyltransferase
* LOC_Os09g20990.1    K16055  741.03  972.0  1.6e-292 trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
* LOC_Os09g21000.1    K03549  130.53 1061.2         0 KUP system potassium uptake protein
* LOC_Os09g21110.1    K01869  410.53  520.3  7.7e-156 leucyl-tRNA synthetase [EC:6.1.1.4]
* LOC_Os09g21180.1    K09338   75.73  156.1     1e-45 homeobox-leucine zipper protein
* LOC_Os09g21210.1    K01180  195.63  883.4  1.2e-265 endo-1,3(4)-beta-glucanase [EC:3.2.1.6]
* LOC_Os09g21450.1    K18810  310.43  313.8   1.3e-93 cyclin D1/2/4, plant
* LOC_Os09g21510.1    K20606  507.97  864.6  3.6e-260 mitogen-activated protein kinase kinase kinase ANP1 [EC:2.7.11.25]
* LOC_Os09g21640.1    K07497   14.00   26.0   3.3e-06 putative transposase
* LOC_Os09g21760.1    K23801  344.00  431.2  4.1e-129 nuclear mRNA export protein PCID2/THP1
* LOC_Os09g21770.1    K25868  232.17  459.1  3.9e-138 chromatin remodeling protein
* LOC_Os09g21780.1    K16588  112.80  594.2  2.3e-178 HAUS augmin-like complex subunit 5
* LOC_Os09g21780.2    K16588  112.80  425.2  3.1e-127 HAUS augmin-like complex subunit 5
* LOC_Os09g21840.1    K07497   14.00   39.5   2.5e-10 putative transposase
* LOC_Os09g21860.1    K07497   14.00   28.8   4.7e-07 putative transposase
* LOC_Os09g22090.1    K01809   48.00  350.1  2.1e-104 mannose-6-phosphate isomerase [EC:5.3.1.8]
* LOC_Os09g22450.1    K18875  339.83  856.4  1.3e-257 enhanced disease susceptibility 1 protein
* LOC_Os09g22540.1    K15601  531.67  599.6  6.6e-180 [histone H3]-dimethyl-L-lysine9 demethylase [EC:1.14.11.65]
* LOC_Os09g23070.1    K01578  340.43  648.0  1.8e-194 malonyl-CoA decarboxylase [EC:4.1.1.9]
* LOC_Os09g23070.2    K01578  340.43  647.0  3.4e-194 malonyl-CoA decarboxylase [EC:4.1.1.9]
* LOC_Os09g23084.1    K01179   44.23  264.6   1.3e-78 endoglucanase [EC:3.2.1.4]
* LOC_Os09g23120.1    K07497   14.00   29.1   3.7e-07 putative transposase
* LOC_Os09g23150.1    K01054  215.33  377.9  3.4e-113 acylglycerol lipase [EC:3.1.1.23]
* LOC_Os09g23160.1    K17098  354.90  478.4  1.8e-143 annexin D
* LOC_Os09g23160.2    K17098  354.90  418.2  3.2e-125 annexin D
* LOC_Os09g23220.2    K08235  146.90  201.9   9.4e-60 xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]
* LOC_Os09g23220.1    K08235  146.90  359.7  1.2e-107 xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]
* LOC_Os09g23230.1    K17604  159.30  478.5  2.4e-143 zinc finger SWIM domain-containing protein 3
* LOC_Os09g23280.1    K01304   56.13  173.9   2.6e-51 pyroglutamyl-peptidase [EC:3.4.19.3]
* LOC_Os09g23300.1    K22736   35.13  264.5   7.7e-79 vacuolar iron transporter family protein
* LOC_Os09g23320.1    K07497   14.00   26.2     3e-06 putative transposase
* LOC_Os09g23350.1    K16055  741.03 1015.4         0 trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
* LOC_Os09g23360.1    K23877  205.30  232.4   5.9e-69 xyloglucan O-acetyltransferase
* LOC_Os09g23380.1    K13148  566.87  975.3  1.2e-293 integrator complex subunit 11 [EC:3.1.27.-]
* LOC_Os09g23530.1    K00083  537.33  573.5  1.5e-172 cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
* LOC_Os09g23540.1    K00083  537.33  593.2  1.6e-178 cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
* LOC_Os09g23550.1    K00083  537.33  595.1  4.4e-179 cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
* LOC_Os09g23560.1    K00083  537.33  575.5    4e-173 cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
* LOC_Os09g23620.1    K09422  178.00  253.0     2e-75 transcription factor MYB, plant
* LOC_Os09g23640.1    K05681  599.77  604.7  1.1e-181 ATP-binding cassette, subfamily G (WHITE), member 2
* LOC_Os09g23650.1    K09560  118.27  304.2     1e-90 suppressor of tumorigenicity protein 13
* LOC_Os09g23650.1    K13464   22.20  130.5   7.1e-38 jasmonate ZIM domain-containing protein
* LOC_Os09g23650.1    K03671  111.47  122.6   1.3e-35 thioredoxin
* LOC_Os09g23660.2    K13464   22.20  133.7   7.7e-39 jasmonate ZIM domain-containing protein
* LOC_Os09g23660.1    K13464   22.20  116.7   1.2e-33 jasmonate ZIM domain-containing protein
* LOC_Os09g23690.1    K14011  159.20  325.0   5.2e-97 UBX domain-containing protein 6
* LOC_Os09g23740.1    K00921  229.60 1341.2         0 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
* LOC_Os09g23820.1    K10717  619.37  869.4    5e-262 cytokinin trans-hydroxylase
* LOC_Os09g23850.1    K07497   14.00   28.7     5e-07 putative transposase
* LOC_Os09g23920.1    K07497   14.00   26.6   2.1e-06 putative transposase
* LOC_Os09g24050.1    K07497   14.00   29.4     3e-07 putative transposase
* LOC_Os09g24200.2    K10839   89.57  445.9  1.1e-133 UV excision repair protein RAD23
* LOC_Os09g24200.1    K10839   89.57  442.6  1.1e-132 UV excision repair protein RAD23
* LOC_Os09g24220.1    K08737  779.83 1284.5         0 DNA mismatch repair protein MSH6
* LOC_Os09g24230.1    K01091  118.67  122.0     2e-35 phosphoglycolate phosphatase [EC:3.1.3.18]
* LOC_Os09g24250.1    K12847  195.40  844.4  5.5e-254 U4/U6.U5 tri-snRNP-associated protein 2
* LOC_Os09g24402.1    K02892   54.43   55.6   4.2e-15 large subunit ribosomal protein L23
* LOC_Os09g24414.1    K02890   80.00  110.4   5.3e-32 large subunit ribosomal protein L22
* LOC_Os09g24416.1    K02982  109.37  242.8   2.6e-72 small subunit ribosomal protein S3
* LOC_Os09g24440.1    K03128  339.90  938.5  3.6e-282 transcription initiation factor TFIID subunit 2
* LOC_Os09g24530.1    K00592  271.60  729.1    1e-219 [ribulose-bisphosphate carboxylase]/[fructose-bisphosphate aldolase]-lysine N-methyltransferase [EC:2.1.1.127 2.1.1.259]
* LOC_Os09g24540.1    K09579  118.73  170.6     2e-50 peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 [EC:5.2.1.8]
* LOC_Os09g24600.1    K01611   19.40   75.2   3.8e-21 S-adenosylmethionine decarboxylase [EC:4.1.1.50]
* LOC_Os09g24660.1    K23398   52.57  265.3   7.4e-79 activating signal cointegrator 1
* LOC_Os09g24670.1    K07052   30.17   94.3   3.7e-27 CAAX protease family protein
* LOC_Os09g24690.1    K02915   18.33  218.8     6e-65 large subunit ribosomal protein L34e
* LOC_Os09g24780.1    K07497   14.00   33.7   1.5e-08 putative transposase
* LOC_Os09g24800.1    K09422  178.00  246.5   1.8e-73 transcription factor MYB, plant
* LOC_Os09g24910.1    K00850  349.03  375.7  2.7e-112 6-phosphofructokinase 1 [EC:2.7.1.11]
* LOC_Os09g24910.2    K00850  349.03  382.2  2.9e-114 6-phosphofructokinase 1 [EC:2.7.1.11]
* LOC_Os09g24924.1    K24193  395.70  937.5  3.1e-282 MFS transporter, SP family, sugar:H+ symporter
* LOC_Os09g24980.1    K08495   68.67  271.5   5.3e-81 golgi SNAP receptor complex member 1
* LOC_Os09g24990.2    K12581   68.47  454.6  1.5e-136 CCR4-NOT transcription complex subunit 7/8
* LOC_Os09g24990.1    K12581   68.47  454.6  1.5e-136 CCR4-NOT transcription complex subunit 7/8
* LOC_Os09g25050.1    K17710  328.03  338.8  3.4e-101 pentatricopeptide repeat domain-containing protein 1
* LOC_Os09g25150.1    K09753  376.53  633.4  7.4e-191 cinnamoyl-CoA reductase [EC:1.2.1.44]
* LOC_Os09g25150.3    K09753  376.53  430.5    3e-129 cinnamoyl-CoA reductase [EC:1.2.1.44]
* LOC_Os09g25150.2    K09753  376.53  542.7  2.5e-163 cinnamoyl-CoA reductase [EC:1.2.1.44]
* LOC_Os09g25160.1    K23222   77.00  133.4   4.6e-39 nuclease HARBI1 [EC:3.1.-.-]
* LOC_Os09g25190.1    K11975  151.00  310.8   5.4e-93 E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]
* LOC_Os09g25200.1    K11975  151.00  276.1   1.9e-82 E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]
* LOC_Os09g25220.1    K11975  151.00  291.1   5.5e-87 E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]
* LOC_Os09g25260.2    K11975  151.00  274.9   4.4e-82 E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]
* LOC_Os09g25260.1    K11975  151.00  291.2   4.8e-87 E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]
* LOC_Os09g25290.1    K01246   50.97  334.8  5.6e-100 DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
* LOC_Os09g25310.1    K06693   79.87  220.0   2.6e-65 26S proteasome regulatory subunit N4
* LOC_Os09g25314.1    K02260   41.70  102.2   1.2e-29 cytochrome c oxidase assembly protein subunit 17
* LOC_Os09g25320.1    K12158  156.50  168.6   4.1e-50 ubiquitin-like protein Nedd8
* LOC_Os09g25370.1    K00809  129.77  417.9  3.3e-125 deoxyhypusine synthase [EC:2.5.1.46]
* LOC_Os09g25390.1    K01115  107.50  561.1  3.1e-168 phospholipase D1/2 [EC:3.1.4.4]
* LOC_Os09g25460.1    K13065  378.87  454.9  2.8e-136 shikimate O-hydroxycinnamoyltransferase [EC:2.3.1.133]
* LOC_Os09g25490.1    K10999 1206.17 2016.4         0 cellulose synthase A [EC:2.4.1.12]
* LOC_Os09g25500.1    K25918  517.80  662.2  5.7e-199 augmin complex subunit 8
* LOC_Os09g25510.1    K17604  159.30  276.0   3.1e-82 zinc finger SWIM domain-containing protein 3
* LOC_Os09g25540.1    K13420 1119.70 1167.0         0 LRR receptor-like serine/threonine-protein kinase FLS2 [EC:2.7.11.1]
* LOC_Os09g25580.1    K03715  290.43  788.8  1.6e-237 1,2-diacylglycerol 3-beta-galactosyltransferase [EC:2.4.1.46]
* LOC_Os09g25610.1    K22314  158.47  408.5  1.7e-122 glucosinolate gamma-glutamyl hydrolase [EC:3.4.19.16]
* LOC_Os09g25620.2    K01611   19.40  423.7  7.1e-127 S-adenosylmethionine decarboxylase [EC:4.1.1.50]
* LOC_Os09g25620.3    K01611   19.40  423.7  7.1e-127 S-adenosylmethionine decarboxylase [EC:4.1.1.50]
* LOC_Os09g25620.1    K01611   19.40  423.7  7.1e-127 S-adenosylmethionine decarboxylase [EC:4.1.1.50]
* LOC_Os09g25620.4    K01611   19.40  424.0  5.9e-127 S-adenosylmethionine decarboxylase [EC:4.1.1.50]
* LOC_Os09g25625.1    K01611   19.40  423.7  7.1e-127 S-adenosylmethionine decarboxylase [EC:4.1.1.50]
* LOC_Os09g25850.1    K15404  564.13  577.5  3.5e-173 aldehyde decarbonylase [EC:4.1.99.5]
* LOC_Os09g25890.2    K16055  741.03  847.1  8.9e-255 trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
* LOC_Os09g25890.1    K16055  741.03  861.6  3.7e-259 trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
* LOC_Os09g25900.1    K20887  967.50 1138.8         0 xyloglucan glycosyltransferase 4 [EC:2.4.1.-]
* LOC_Os09g25950.1    K22900   87.83  321.0   7.9e-96 tRNA (adenine37-N6)-methyltransferase [EC:2.1.1.-]
* LOC_Os09g25960.1    K05387  474.40 1322.6         0 glutamate receptor, ionotropic, plant
* LOC_Os09g25980.1    K05387  474.40 1221.7         0 glutamate receptor, ionotropic, plant
* LOC_Os09g25990.1    K05387  474.40 1288.5         0 glutamate receptor, ionotropic, plant
* LOC_Os09g26000.1    K05387  474.40 1249.2         0 glutamate receptor, ionotropic, plant
* LOC_Os09g26144.1    K05387  474.40 1048.4         0 glutamate receptor, ionotropic, plant
* LOC_Os09g26160.1    K05387  474.40 1177.0         0 glutamate receptor, ionotropic, plant
* LOC_Os09g26160.2    K05387  474.40  902.5  2.3e-271 glutamate receptor, ionotropic, plant
* LOC_Os09g26170.1    K09422  178.00  227.5   1.1e-67 transcription factor MYB, plant
* LOC_Os09g26180.1    K03134   66.23  237.7     1e-70 transcription initiation factor TFIID subunit 10
* LOC_Os09g26260.1    K08900  145.43  380.9    8e-114 mitochondrial chaperone BCS1
* LOC_Os09g26280.1    K23222   77.00  110.6   3.9e-32 nuclease HARBI1 [EC:3.1.-.-]
* LOC_Os09g26340.1    K11254   51.00  294.5   1.2e-87 histone H4
* LOC_Os09g26360.1    K01051   80.40  470.1  3.8e-141 pectinesterase [EC:3.1.1.11]
* LOC_Os09g26380.1    K00814  280.37  695.0  7.1e-209 alanine transaminase [EC:2.6.1.2]
* LOC_Os09g26400.1    K16274  176.97  465.6    5e-140 E3 ubiquitin-protein ligase AIP2 [EC:2.3.2.27]
* LOC_Os09g26420.5    K09286   88.23  158.5   1.2e-46 EREBP-like factor
* LOC_Os09g26420.1    K09286   88.23  158.5   1.2e-46 EREBP-like factor
* LOC_Os09g26420.4    K09286   88.23  157.8   2.1e-46 EREBP-like factor
* LOC_Os09g26420.2    K09286   88.23  158.5   1.2e-46 EREBP-like factor
* LOC_Os09g26460.1    K11975  151.00  176.1     5e-52 E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]
* LOC_Os09g26470.1    K11975  151.00  180.9   1.8e-53 E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]
* LOC_Os09g26570.1    K07052   30.17   50.7   7.6e-14 CAAX protease family protein
